,type,location,price,area,link
166,Villa,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","30,000,000",520 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3429261.html
167,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6,250,000",240 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3355075.html
168,Twin House,"Al Maqsad, New Capital Compounds, New Capital City, Cairo","9,500,000",426 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-3406706.html
169,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","15,500,000",440 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3399105.html
170,Villa,"Al Hayah Residence, 3rd District West, Shorouk City, Cairo","15,000,000",735 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-3rd-district-west-al-hayah-residence-3417607.html
171,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,360,000",144 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3349176.html
172,Townhouse,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","5,500,000",200 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3433067.html
173,Penthouse,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,400,000",175 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-3344098.html
174,Apartment,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,650,000",199 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3430277.html
175,Townhouse,"Sodic East, 6th District, New Heliopolis, Cairo","6,000,000",240 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-heliopolis-6th-district-sodic-east-3433192.html
176,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","1,530,000",164 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3289350.html
177,Duplex,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6,300,000",240 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3282584.html
178,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,185,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3427477.html
179,Hotel Apartment,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo","30,000,000",416 ,https://www.propertyfinder.eg/en/plp/buy/hotel-apartment-for-sale-cairo-hay-el-maadi-maadi-cornish-el-nile-st-3402827.html
180,Duplex,"Nasr St., Hay El Maadi, Cairo","2,500,000",250 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-hay-el-maadi-nasr-st-3401849.html
181,Duplex,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,000,000",225 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-3381391.html
182,Villa,"The Wonder Marq, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","407,000",175 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-the-wonder-marq-3421751.html
183,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","2,688,806",169 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3421372.html
184,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","342,000",173 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3358673.html
185,Villa,"Palm Hills Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo","18,500,000","1,400 ",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-palm-hills-kattameya-3426468.html
186,Apartment,"Ahmed Heshmat St., Zamalek, Cairo","11,000,000",320 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-zamalek-ahmed-heshmat-st-3396487.html
187,Apartment,"Acasa, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","385,000",255 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-acasa-3341852.html
188,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,625,000",172 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3395007.html
189,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo","8,992,000",290 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-3403874.html
190,Villa,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","3,800,000",295 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3380569.html
191,Apartment,"Sarayat Al Maadi, Hay El Maadi, Cairo","5,100,000",280 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-hay-el-maadi-sarayat-al-maadi-3331143.html
192,Apartment,"Park View, North Investors Area, New Cairo City, Cairo","5,850,000",215 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-park-view-3345093.html
193,Apartment,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,575,000",180 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-3405917.html
194,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","11,000,000",400 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-3305006.html
195,Duplex,"Rivan, New Capital Compounds, New Capital City, Cairo","7,374,522",396 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-rivan-3419685.html
196,Apartment,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,150,000",130 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3381908.html
197,Villa,"Al Shorouk Springs, El Shorouk Compounds, Shorouk City, Cairo","7,000,000",450 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-shorouk-springs-3371283.html
198,Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","225,000",145 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azad-3420533.html
199,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,750,000",142 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3402758.html
200,Villa,"Celesta Hills, Uptown Cairo, Mokattam, Cairo","14,620,000",305 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-mokattam-uptown-cairo-celesta-hills-3409537.html
201,Apartment,"Rivan, New Capital Compounds, New Capital City, Cairo","4,160,123",211 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rivan-3432473.html
202,Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","6,150,000",300 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-3429898.html
203,Apartment,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","319,610",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-sarai-3421533.html
204,Apartment,"The Village, South Investors Area, New Cairo City, Cairo","1,800,000",88 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-the-village-3361680.html
205,Apartment,"Madinaty, Cairo","2,200,000",103 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-madinaty-3421450.html
206,Apartment,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo","1,530,000",163 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-mostakbal-city-future-city-mostakbal-city-compounds-capital-gardens-palm-hills-3393297.html
207,Apartment,"Midtown, South Investors Area, New Cairo City, Cairo","2,650,000",185 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-midtown-3366343.html
208,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,827,230",115 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3347104.html
209,Apartment,"Fifth Square, North Investors Area, New Cairo City, Cairo","267,380",180 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-3435625.html
210,iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","700,000",285 ,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3336719.html
211,Villa,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","14,500,000",430 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-3342689.html
212,Villa,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo","61,500,000",380 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-katameya-dunes-3323873.html
213,Penthouse,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,350,000",206 ,https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3193041.html
214,Apartment,"Rivan, New Capital Compounds, New Capital City, Cairo","3,559,670",164 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-rivan-3432022.html
215,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","12,850,000",374 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3392127.html
216,Villa,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","10,250,000",380 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-katameya-extension-3409574.html
217,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo","200,000",181 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-3314197.html
218,Townhouse,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,268,000",268 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3389932.html
219,Apartment,"Midtown, South Investors Area, New Cairo City, Cairo","3,250,000",225 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-south-investors-area-midtown-3329225.html
220,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,500,000",460 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3283130.html
221,Apartment,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","11,000,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-3403627.html
222,Apartment,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,800,000",130 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-district-5-3435297.html
223,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,200,000",234 ,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-3288180.html
224,Apartment,"Tag Sultan, Ring Road, Cairo","2,550,000",146 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-ring-road-tag-sultan-3383987.html
225,Apartment,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,700,000",165 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3399260.html
226,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","9,250,000",327 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3203336.html
227,Land,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo","4,500,000",774 ,https://www.propertyfinder.eg/en/plp/buy/land-for-sale-cairo-new-cairo-city-the-5th-settlement-bait-alwatan-3140981.html
228,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,500,000",211 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3431998.html
229,iVilla,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","204,000",100 ,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-icity-3418978.html
230,Apartment,"El Rehab Extension, Al Rehab, New Cairo City, Cairo","2,606,000",170 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-al-rehab-el-rehab-extension-3205643.html
231,Apartment,"Azad, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","210,000",145 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azad-3420511.html
232,Duplex,"De Joya, New Capital Compounds, New Capital City, Cairo","380,000",280 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-3367691.html
233,Apartment,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,387,000",140 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-residence-3390997.html
234,Twin House,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","13,500,000",320 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-3368717.html
235,Chalet,"Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","75,000,000",180 ,https://www.propertyfinder.eg/en/plp/buy/chalet-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-zed-east-3431486.html
236,Villa,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","5,900,000",210 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3423163.html
237,Townhouse,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo","5,900,000",258 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-el-katameya-el-katameya-compounds-district-5-residences-3435921.html
238,Duplex,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo","205,000",220 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-3431980.html
239,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,650,000",128 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3421837.html
240,Apartment,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,200,000",175 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-palm-hills-new-cairo-3434622.html
241,Apartment,"MU-23, Downtown Area, New Capital City, Cairo","2,450,000",169 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-downtown-area-mu-23-3246018.html
242,Villa,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","13,500,000",475 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3377541.html
243,iVilla,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","2,500,000",234 ,https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-hyde-park-3282594.html
244,Townhouse,"Sodic East, 6th District, New Heliopolis, Cairo","6,300,000",234 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-heliopolis-6th-district-sodic-east-3398700.html
245,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,700,000",230 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3423739.html
246,Villa,"La Terra, South Investors Area, New Cairo City, Cairo","9,000,000",614 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-south-investors-area-la-terra-3366525.html
247,Townhouse,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","5,000,000",266 ,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-3379532.html
248,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","3,625,000",172 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3429112.html
249,Apartment,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",Askforprice,140 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-3413905.html
